Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1980,0.15230551,0.08985523,0.2147558
1981,0.20272629,0.1387254,0.26672718
1982,0.068973325,-0.00049295725,0.1384396
1983,0.24590473,0.17791995,0.3138895
1984,0.035400692,-0.034068637,0.10487002
1985,0.027342834,-0.03994967,0.09463534
1986,0.10152575,0.035825603,0.1672259
1987,0.25302136,0.18666205,0.31938064
1988,0.26891363,0.20115039,0.33667687
1989,0.18820897,0.11920779,0.25721017
1990,0.36138567,0.2933989,0.42937246
1991,0.31899363,0.2488342,0.38915303
1992,0.15503338,0.08483248,0.22523428
1993,0.21440645,0.1434145,0.28539836
1994,0.26943058,0.19813493,0.34072626
1995,0.3967543,0.3291387,0.4643699
1996,0.24462943,0.17809458,0.31116426
1997,0.45305416,0.38559344,0.5205149
1998,0.5991545,0.527648,0.67066103
1999,0.3545327,0.2844757,0.42458966
2000,0.33430204,0.26391932,0.40468472
2001,0.47910002,0.4097409,0.5484592
2002,0.5414619,0.47309017,0.6098336
2003,0.55255866,0.48480567,0.6203117
2004,0.50240844,0.4365961,0.5682208
2005,0.58379215,0.51804316,0.64954114
2006,0.5432735,0.47858235,0.6079646
2007,0.5345287,0.47214994,0.59690744
2008,0.44229358,0.37873518,0.505852
2009,0.56299055,0.49791393,0.62806726
2010,0.61699545,0.552384,0.6816069
2011,0.4897824,0.42735556,0.55220926
2012,0.54772747,0.4811691,0.6142859
2013,0.58822024,0.52058125,0.65585923
2014,0.65504646,0.5842354,0.72585756
2015,0.84454644,0.7778165,0.91127634
2016,0.8750027,0.8082772,0.9417282
2017,0.7922239,0.72392404,0.86052376
2018,0.70571285,0.6374439,0.7739818
2019,0.8372736,0.7650701,0.9094771
2020,0.86543244,0.79189825,0.9389667
2021,0.69460404,0.5890351,0.8001729
